#{"t_start": 1774194196.1778681, "env_id": null}
r,l,t
1439.44,253,687.205181
1413.4,250,688.441045
2008.7,317,690.021152
1686.7,279,691.439721
1875.8,300,692.958214
1706.32,287,694.327511
2304.04,350,696.308877
1286.0,237,697.929561
1824.752,299,699.435042
1577.34,269,700.763064
1712.03,285,702.165868
1710.9,279,703.631279
1470.1,255,704.924709
1990.2,312,706.481576
2637.452,390,708.451295
1956.25,315,710.127071
1758.32,289,711.804061
1679.78,274,713.346836
1496.28,257,714.627545
1834.6,300,716.114367
1882.6,300,717.635868
1658.65,286,719.044418
1443.7,250,720.39473
1603.8,267,721.832623
1894.6,300,723.371764
1679.6,277,725.083369
1662.6,273,726.491216
1832.6,300,728.518754
1346.9,243,729.845313
1746.0,287,731.282027
1745.98,283,732.733093
1865.69,301,734.248138
1795.4,291,735.757474
1717.4,280,737.206677
1604.0,270,738.584963
1931.64,307,740.163274
1592.4,266,741.595319
1628.3,273,743.035093
1691.4,275,744.413381
2300.0,350,746.238521
2191.8,337,747.945057
1523.0,258,749.256334
2052.928,323,750.909729
1399.2,250,752.194584
2399.126,359,754.074311
2300.6,350,755.875881
1783.2,287,758.153122
2256.5,345,759.982237
1885.76,300,761.579489
2605.43,380,763.541274
2304.5,349,765.432583
1560.2,266,766.801789
2301.6,350,768.539601
2775.33,400,770.596925
2260.5,345,772.367287
2301.5,350,774.202003
2294.1,350,775.993232
2043.0,321,777.717233
2060.8,324,779.378211
2223.5,343,781.26098
2218.5,337,783.214879
1441.2,250,784.58973
1799.8,293,786.1178
2204.05,343,788.451348
2736.5,400,790.605873
2262.2,348,792.484487
2495.93,372,794.380269
2309.2,350,796.228059
2554.0,377,798.196618
2475.544,364,800.147932
1888.1,300,801.961771
2363.6,355,803.852381
2324.0,350,805.70449
2324.1,350,807.476237
2362.7,352,809.35294
2177.8,332,811.187359
2128.2,331,812.989408
1862.06,300,814.619951
2166.0,338,816.502315
2579.96,381,818.983049
2814.9,407,821.144541
2302.54,350,823.035066
2141.16,330,824.81127
1842.02,300,826.422248
2064.4,322,828.148408
1772.8,287,829.705321
1642.0,271,831.126899
2431.54,361,833.046122
1678.9,275,834.493016
2402.8,357,836.699266
2147.8,333,838.726201
2622.064,391,840.89396
2069.7,326,842.855951
2373.4,355,844.792957
2732.0,400,847.006701
2136.57,332,849.340309
2977.0,427,851.657874
2125.2,330,853.437689
2099.7,330,855.197557
2316.4,350,857.116047
1841.4,300,858.873361
2076.5,326,860.679632
2285.2,350,862.646255
2242.6,350,864.52595
2289.12,349,866.417193
1634.92,275,868.810076
2484.2,366,870.886309
1567.0,261,872.548027
1755.31,288,874.208434
1875.02,300,875.988015
2939.4,417,879.453822
1874.0,300,882.464974
2283.99,350,884.562917
2703.706,400,886.901109
2262.4,346,888.846801
2187.4,334,890.782139
1751.15,291,892.454393
2723.0586,400,894.869994
1999.24,314,896.972327
2020.77,317,899.045645
1865.6,300,900.84709
2293.08934,347,903.023403
2269.1,350,905.079798
2204.54,340,907.14114
2733.764,400,910.003092
2818.0,401,912.29035
1978.5,308,914.106073
